"","Name","File","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","post_release_bugs"
"1","(Unnamed_Package)","Null.java",2,2,2,1,15,1,12,2,6,12,6,NA,NA,11,1,23,1,10,0,12,504,50,310,123,191,153,173,225,105,120,4,4,4,1,2,0.49,46,46,46,23,1
"2","ClassWithNoPackage","ClassWithNoPackage.java",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,19,0,2,1,0,17,0,1,1,0,0,0,0,0,0,8.5,0,0,0,0,0
"3","Null","Null.java",1,1,1,1,1,0,1,0,NA,0,0,NA,NA,1,0,1,0,0,0,1,20,0,3,2,0,17,0,2,2,0,1,1,1,1,0,5.67,1,1,1,1,1
"4","Null","Null.java",1,1,1,1,1,0,1,0,NA,0,0,NA,NA,1,0,1,0,0,0,1,20,0,3,2,0,17,0,2,2,0,1,1,1,1,0,5.67,1,1,1,1,1
"5","Null.Null","Null.java",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,1,1,1
"6","Null.Null","Null.java",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,1,1,1
"7","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/InterfaceAudience.java","InterfaceAudience.java",1,1,1,1,1,0,1,1,4,0,0,1,2,2,0,2,1,1,0,0,73,5,20,19,0,49,8,10,10,0,1,1,1,1,0,2.45,1,1,1,1,0
"8","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/InterfaceStability.java","InterfaceStability.java",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,65,5,20,19,0,40,10,11,11,0,0,0,0,0,0,2,0,0,0,0,0
"9","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsJDiffDoclet.java","ExcludePrivateAnnotationsJDiffDoclet.java",1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,59,7,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4,0
"10","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsStandardDoclet.java","ExcludePrivateAnnotationsStandardDoclet.java",1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,58,6,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4,0
"11","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/IncludePublicAnnotationsStandardDoclet.java","IncludePublicAnnotationsStandardDoclet.java",1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,63,6,29,13,12,28,15,21,12,9,2,2,2,1,1,0.97,5,5,5,4,0
"12","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/RootDocProcessor.java","RootDocProcessor.java",6,6,7,4,19,0,19,0,2,5,3,9,9,4,1,9,0,6,0,3,247,19,205,54,127,23,82,141,52,89,25,25,29,23,4,0.11,55,55,65,44,0
"13","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/StabilityOptions.java","StabilityOptions.java",4,4,5,2,12,0,12,0,1,3,3,3,3,0,0,3,0,0,0,3,70,7,46,18,27,17,27,42,20,22,5,5,6,4,2,0.37,13,13,15,6,0
"14","RELATIVE:/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/package-info.java","package-info.java",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,4,4,0,17,2,2,2,0,0,0,0,0,0,4.25,0,0,0,0,0
"15","RELATIVE:/hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/RequestLoggerFilter.java","RequestLoggerFilter.java",1,1,1,1,7,0,7,0,3,0,1,15,15,15,3,15,0,1,0,14,183,21,146,65,65,16,75,105,56,49,5,5,5,1,2,0.11,24,24,25,15,0
"16","RELATIVE:/hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java","WhoClient.java",5,5,5,1,31,0,31,0,1,1,0,1,1,0,0,1,0,0,0,1,60,4,40,15,24,16,24,30,14,16,5,5,5,1,3,0.4,5,5,5,1,0
"17","RELATIVE:/hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoServlet.java","WhoServlet.java",1,1,1,1,5,0,5,0,1,0,0,2,2,2,0,2,0,0,2,0,43,4,23,16,7,16,15,18,14,4,2,2,2,1,0,0.7,3,3,3,2,0
"18","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/AuthenticatedURL.java","AuthenticatedURL.java",2,2,2,1,12,0,6,6,2,4,3,14,14,10,3,14,1,0,1,12,279,25,114,38,56,140,47,78,37,41,7,7,9,1,5,1.23,29,29,32,14,3
"19","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/AuthenticationException.java","AuthenticationException.java",1,1,1,1,8,0,3,5,1,0,1,3,3,3,0,3,0,0,0,3,50,5,13,6,4,32,5,9,6,3,1,1,1,1,0,2.46,3,3,3,3,0
"20","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/Authenticator.java","Authenticator.java",0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,2,47,6,7,6,0,34,5,6,6,0,0,0,0,0,0,4.86,0,0,0,0,0
"21","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/ConnectionConfigurator.java","ConnectionConfigurator.java",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,36,5,6,5,0,25,4,5,5,0,0,0,0,0,0,4.17,0,0,0,0,0
"22","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/KerberosAuthenticator.java","KerberosAuthenticator.java",3,3,4,1,23,0,18,4,3,1,13,11,11,10,5,11,0,6,1,4,370,36,243,92,148,91,127,166,79,87,7,7,7,4,3,0.37,37,37,44,19,2
"23","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/PseudoAuthenticator.java","PseudoAuthenticator.java",1,1,1,1,16,0,6,10,1,0,2,3,3,3,1,3,0,0,1,2,90,8,30,16,14,52,18,23,14,9,3,3,3,1,1,1.73,5,5,5,3,1
"24","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AltKerberosAuthenticationHandler.java","AltKerberosAuthenticationHandler.java",2,2,2,1,19,0,9,9,1,0,3,4,5,5,1,5,0,0,1,4,149,11,62,30,25,76,29,40,22,18,4,4,4,4,2,1.23,9,9,9,7,0
"25","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationFilter.java","AuthenticationFilter.java",3,3,3,1,20,0,13,5,2,2,10,21,21,19,7,21,0,0,13,8,631,47,333,107,204,252,156,220,93,127,14,14,19,4,4,0.76,64,64,74,24,4
"26","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationHandler.java","AuthenticationHandler.java",0,0,0,0,0,0,0,0,1,0,1,0,5,5,0,5,0,0,0,5,117,11,19,18,1,87,13,14,14,0,0,0,0,0,0,4.58,0,0,0,0,0
"27","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationToken.java","AuthenticationToken.java",1,1,1,1,8,0,3,4,1,1,1,6,6,5,0,6,0,2,0,4,94,11,29,13,9,54,13,21,13,8,2,2,2,1,1,1.86,7,7,7,6,1
"28","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/KerberosAuthenticationHandler.java","KerberosAuthenticationHandler.java",2,2,3,1,25,0,19,5,4,0,5,13,13,13,7,13,0,0,2,11,405,30,260,90,155,116,134,176,82,94,11,11,13,1,2,0.45,38,38,42,13,4
"29","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/PseudoAuthenticationHandler.java","PseudoAuthenticationHandler.java",1,1,1,1,13,0,5,7,1,0,4,9,9,9,2,9,0,1,1,7,196,19,76,40,27,101,35,51,32,19,4,4,4,4,3,1.33,14,14,14,12,1
"30","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/AuthToken.java","AuthToken.java",1,1,1,1,11,0,6,5,1,3,7,13,13,10,5,13,0,2,2,9,218,23,110,48,59,85,66,86,45,41,4,4,5,1,2,0.77,19,19,23,13,2
"31","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/FileSignerSecretProvider.java","FileSignerSecretProvider.java",2,2,2,1,10,0,9,0,1,0,0,4,4,4,2,4,0,0,0,4,84,11,56,28,24,17,25,35,21,14,6,6,6,1,3,0.3,9,9,9,4,0
"32","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java","KerberosName.java",2,2,2,1,14,0,10,3,4,7,7,21,21,14,11,21,10,0,0,11,432,36,283,87,162,113,134,194,76,118,8,8,11,5,4,0.4,55,55,60,25,4
"33","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosUtil.java","KerberosUtil.java",2,2,2,1,15,0,10,4,1,7,0,7,7,0,0,7,2,0,0,5,157,11,94,46,39,52,50,68,41,27,4,4,4,3,3,0.55,16,16,18,9,2
"34","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/RandomSignerSecretProvider.java","RandomSignerSecretProvider.java",1,1,1,1,5,0,3,1,1,0,0,3,3,3,1,3,0,0,1,2,53,7,24,15,5,22,12,16,11,5,1,1,1,1,0,0.92,3,3,3,3,0
"35","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/RolloverSignerSecretProvider.java","RolloverSignerSecretProvider.java",1,1,1,1,8,0,5,2,2,0,1,9,10,10,4,10,0,0,4,6,142,12,73,35,27,57,34,48,27,21,3,3,3,1,2,0.78,13,13,13,9,2
"36","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/Signer.java","Signer.java",2,2,2,1,16,0,10,6,1,0,1,5,5,5,1,5,0,0,2,3,117,9,62,25,35,46,34,48,25,23,5,5,5,4,3,0.74,13,13,14,8,0
"37","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/SignerException.java","SignerException.java",1,1,1,1,8,0,3,5,1,0,1,1,1,1,0,1,0,0,0,1,31,3,7,4,2,21,3,5,4,1,1,1,1,1,0,3,1,1,1,1,0
"38","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/SignerSecretProvider.java","SignerSecretProvider.java",1,1,1,1,4,0,1,3,1,0,0,1,4,4,0,4,0,0,0,4,63,5,14,13,0,44,8,10,10,0,1,1,1,1,0,3.14,1,1,1,1,1
"39","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/ZKSignerSecretProvider.java","ZKSignerSecretProvider.java",2,2,2,1,15,0,12,3,3,0,14,18,18,18,10,18,0,7,3,8,511,36,301,135,175,176,163,202,105,97,6,6,7,1,3,0.58,38,38,43,18,3
"40","RELATIVE:/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/util/PlatformName.java","PlatformName.java",1,1,1,1,3,0,3,0,1,1,3,1,1,0,0,1,0,0,0,1,55,6,17,11,7,32,7,9,8,1,1,1,1,1,0,1.88,1,1,1,1,0
"41","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/KerberosTestUtils.java","KerberosTestUtils.java",1,1,1,1,6,0,6,0,3,7,1,10,10,3,1,10,0,0,0,10,122,16,90,37,45,16,51,66,36,30,3,3,3,1,1,0.18,13,13,13,10,0
"42","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/AuthenticatorTestCase.java","AuthenticatorTestCase.java",1,1,1,1,9,0,9,0,5,1,1,21,21,20,8,21,0,2,14,5,297,33,247,109,134,21,157,197,102,95,4,4,4,1,2,0.09,33,33,33,21,0
"43","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestAuthenticatedURL.java","TestAuthenticatedURL.java",1,1,1,1,12,1,10,0,1,0,0,6,6,6,0,6,0,0,0,6,118,21,83,43,51,15,56,64,36,28,3,3,3,1,1,0.18,8,8,8,6,0
"44","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java","TestKerberosAuthenticator.java",1,1,1,1,8,0,8,0,5,1,0,15,15,14,1,15,0,1,0,14,165,15,136,57,78,15,75,92,51,41,1,1,1,1,1,0.11,15,15,15,15,0
"45","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestPseudoAuthenticator.java","TestPseudoAuthenticator.java",1,1,1,1,8,0,8,0,1,0,0,8,8,8,0,8,0,1,0,7,106,12,81,36,46,13,44,55,29,26,1,1,1,1,1,0.16,8,8,8,8,0
"46","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAltKerberosAuthenticationHandler.java","TestAltKerberosAuthenticationHandler.java",1,1,1,1,14,0,11,1,2,0,0,6,6,6,0,6,0,0,2,4,115,12,81,29,49,22,46,57,24,33,3,3,3,1,1,0.27,10,10,10,6,0
"47","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java","TestAuthenticationFilter.java",1,1,1,1,23,1,21,0,9,4,6,38,38,34,0,38,0,4,0,34,976,111,843,256,651,31,472,545,218,327,5,5,9,1,3,0.04,55,55,60,38,2
"48","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationToken.java","TestAuthenticationToken.java",1,1,1,1,8,0,8,0,1,0,0,1,1,1,0,1,0,0,0,1,30,3,14,6,6,13,9,11,5,6,1,1,1,1,0,0.93,1,1,1,1,0
"49","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java","TestKerberosAuthenticationHandler.java",1,1,1,1,15,1,13,0,2,0,0,16,16,16,1,16,0,0,3,13,305,41,242,100,155,25,147,176,88,88,3,3,3,1,1,0.1,29,29,29,16,1
"50","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestPseudoAuthenticationHandler.java","TestPseudoAuthenticationHandler.java",1,1,1,1,10,1,9,0,1,0,0,7,7,7,0,7,0,1,0,6,117,20,84,41,49,13,50,62,35,27,1,1,1,1,1,0.15,7,7,7,7,0
"51","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProvider.java","StringSignerSecretProvider.java",1,1,1,1,3,0,3,0,1,0,0,4,4,4,2,4,0,0,0,4,55,8,31,23,6,16,15,20,16,4,1,1,1,1,0,0.52,4,4,4,4,0
"52","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProviderCreator.java","StringSignerSecretProviderCreator.java",1,1,1,1,8,0,4,4,1,1,0,1,1,0,0,1,0,0,0,1,33,2,11,8,1,20,4,6,5,1,1,1,1,1,0,1.82,1,1,1,1,0
"53","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestAuthToken.java","TestAuthToken.java",4,4,4,1,24,0,22,2,1,0,0,4,4,4,0,4,0,0,0,4,127,9,98,24,73,22,56,68,20,48,13,13,13,1,1,0.22,18,18,18,4,0
"54","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestFileSignerSecretProvider.java","TestFileSignerSecretProvider.java",1,1,1,1,23,1,22,0,1,0,0,1,1,1,0,1,0,0,0,1,51,5,33,20,19,13,23,25,17,8,1,1,1,1,0,0.39,1,1,1,1,0
